#TYPE System.Management.ManagementObject#root\cimv2\Win32_QuickFixEngineering
"PSComputerName","InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2786081"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2786081"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2786081","POROKHNYA","Update","","KB2786081",,"POROKHNYA\admin",,"",
"POROKHNYA","20.12.2019 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2809215"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2809215"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2809215","POROKHNYA","Update","","KB2809215",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2834140"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2834140"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2834140","POROKHNYA","Update","","KB2834140",,"POROKHNYA\admin",,"",
"POROKHNYA","20.12.2019 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2872035"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2872035"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2872035","POROKHNYA","Hotfix","","KB2872035",,"POROKHNYA\admin",,"",
"POROKHNYA","24.02.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2882822"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2882822"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2882822","POROKHNYA","Update","","KB2882822",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2888049"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2888049"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2888049","POROKHNYA","Update","","KB2888049",,"POROKHNYA\admin",,"",
"POROKHNYA","24.02.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2999226"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2999226"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2999226","POROKHNYA","Update","","KB2999226",,"POROKHNYA\admin",,"",
"POROKHNYA","20.12.2019 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3033929"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3033929"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3033929","POROKHNYA","Security Update","","KB3033929",,"POROKHNYA\admin",,"",
"POROKHNYA","20.12.2019 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4019990"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4019990"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4019990","POROKHNYA","Update","","KB4019990",,"POROKHNYA\admin",,"",
"POROKHNYA","24.02.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB958488"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB958488"",ServicePackInEffect=""""","http://support.microsoft.com","POROKHNYA","Update","","KB958488",,"POROKHNYA\admin",,"",
"POROKHNYA","21.11.2010 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB976902"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB976902"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=976902","POROKHNYA","Update","","KB976902",,"POROKHNYA\?????????????",,"",
